GO:0000001	mitochondrion inheritance
GO:0000432	positive regulation of transcription from RNA polymerase II promoter by glucose
GO:0000433	negative regulation of transcription from RNA polymerase II promoter by glucose
GO:0000434	negative regulation of transcription from RNA polymerase II promoter by galactose
GO:0000435	positive regulation of transcription from RNA polymerase II promoter by galactose
GO:0000436	positive regulation of transcription from RNA polymerase II promoter by carbon catabolites
GO:0000437	negative regulation of transcription from RNA polymerase II promoter by carbon catabolites
GO:0000444	MIS12/MIND type complex
GO:0000445	THO complex part of transcription export complex
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000464	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000468	generation of mature 3'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000477	generation of mature 5'-end of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000491	snoRNP assembly
GO:0000492	box C/D snoRNP assembly
GO:0000493	box H/ACA snoRNP assembly
GO:0000494	box C/D snoRNA 3'-end processing
GO:0000495	box H/ACA snoRNA 3'-end processing
GO:0000500	RNA polymerase I upstream activating factor complex
GO:0000501	flocculation via cell wall protein-carbohydrate interaction
GO:0000502	proteasome complex
GO:0000504	proteasome regulatory particle (sensu Bacteria)
GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0000508	Rpd3L complex
GO:0000509	Rpd3S complex
GO:0000578	embryonic axis specification
GO:0000701	purine-specific mismatch base pair DNA N-glycosylase activity
GO:0000703	oxidized pyrimidine base lesion DNA N-glycosylase activity
GO:0000708	meiotic strand invasion
GO:0000712	resolution of meiotic joint molecules as recombinants
GO:0000715	nucleotide-excision repair, DNA damage recognition
GO:0000716	transcription-coupled nucleotide-excision repair, DNA damage recognition
GO:0000719	photoreactive repair
GO:0000721	(R,R)-butanediol dehydrogenase activity
GO:0000722	telomere maintenance via recombination
GO:0000724	double-strand break repair via homologous recombination
GO:0000731	DNA synthesis during DNA repair
GO:0000737	DNA catabolic process, endonucleolytic
GO:0000738	DNA catabolic process, exonucleolytic
GO:0000741	karyogamy
GO:0000743	nuclear migration during conjugation with cellular fusion
GO:0000745	nuclear migration during conjugation without cellular fusion
GO:0000747	conjugation with cellular fusion
GO:0000748	conjugation with mutual genetic exchange
GO:0000749	response to pheromone during conjugation with cellular fusion
GO:0000750	pheromone-dependent signal transduction during conjugation with cellular fusion
GO:0000751	cell cycle arrest in response to pheromone
GO:0000752	agglutination during conjugation with cellular fusion
GO:0000753	cellular morphogenesis during conjugation with cellular fusion
GO:0000754	adaptation to pheromone during conjugation with cellular fusion
GO:0000755	cytogamy
GO:0000760	adaptation to pheromone during conjugation without cellular fusion
GO:0000766	adaptation to pheromone during pheromone-induced unidirectional conjugation
GO:0000768	syncytium formation by plasma membrane fusion
GO:0000770	peptide pheromone export
GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity
GO:0000775	chromosome, pericentric region
GO:0000779	condensed chromosome, pericentric region
GO:0000780	condensed nuclear chromosome, pericentric region
GO:0000781	chromosome, telomeric region
GO:0000784	nuclear chromosome, telomeric region
GO:0000785	chromatin
GO:0000793	condensed chromosome
GO:0000794	condensed nuclear chromosome
GO:0000796	condensin complex
GO:0000797	condensin core heterodimer
GO:0000800	lateral element
GO:0000808	origin recognition complex
GO:0000809	cytoplasmic origin of replication recognition complex
GO:0000810	diacylglycerol pyrophosphate phosphatase activity
GO:0000811	GINS complex
GO:0000812	SWR1 complex
GO:0000813	ESCRT I complex
GO:0000814	ESCRT II complex
GO:0000815	ESCRT III complex
GO:0000817	COMA complex
GO:0000818	nuclear MIS12/MIND type complex
GO:0000820	regulation of glutamine family amino acid metabolic process
GO:0000821	regulation of arginine metabolic process
GO:0000822	inositol hexakisphosphate binding
GO:0000823	inositol trisphosphate 6-kinase activity
GO:0000824	inositol tetrakisphosphate 3-kinase activity
GO:0000825	inositol tetrakisphosphate 6-kinase activity
GO:0000826	inositol pyrophosphate synthase activity
GO:0000827	inositol 1,3,4,5,6-pentakisphosphate kinase activity
GO:0000832	inositol hexakisphosphate 5-kinase activity
GO:0000833	inositol heptakisphosphate 4-kinase activity
GO:0000837	Doa10p ubiquitin ligase complex
GO:0000902	cell morphogenesis
GO:0000905	sporocarp development involved in asexual reproduction
GO:0000907	sulfonate dioxygenase activity
GO:0000908	taurine dioxygenase activity
GO:0000909	sporocarp development involved in sexual reproduction
GO:0000911	cytokinesis by cell plate formation
GO:0000912	formation of actomyosin apparatus involved in cytokinesis
GO:0000915	cytokinesis, contractile ring formation
GO:0000916	contractile ring contraction involved in cytokinesis
GO:0000917	barrier septum formation
GO:0000918	selection of site for barrier septum formation
GO:0000920	cell separation during cytokinesis
GO:0000921	septin ring assembly
GO:0000923	equatorial microtubule organizing center
GO:0000924	gamma-tubulin ring complex, centrosomal
GO:0000927	gamma-tubulin small complex, centrosomal
GO:0000928	gamma-tubulin small complex, spindle pole body
GO:0000931	gamma-tubulin large complex
GO:0000932	cytoplasmic mRNA processing body
GO:0000934	porous cell septum
GO:0000935	barrier septum
GO:0000936	primary cell septum
GO:0000938	GARP complex
GO:0000939	inner kinetochore of condensed chromosome
GO:0000940	outer kinetochore of condensed chromosome
GO:0000943	retrotransposon nucleocapsid
GO:0001100	negative regulation of exit from mitosis
GO:0001300	chronological cell aging
GO:0001301	progressive alteration of chromatin during cell aging
GO:0001302	replicative cell aging
GO:0001303	nucleolar fragmentation during replicative aging
GO:0001304	progressive alteration of chromatin during replicative cell aging
GO:0001305	progressive alteration of chromatin during chronological cell aging
GO:0001307	extrachromosomal circular DNA accumulation during replicative cell aging
GO:0001308	loss of chromatin silencing during replicative cell aging
GO:0001310	extrachromosomal rDNA circle accumulation during replicative cell aging
GO:0001311	formation of extrachromosomal circular rDNA by homologous recombination during replicative cell aging
GO:0001312	replication of extrachromosomal rDNA circles during replicative cell aging
GO:0001313	formation of extrachromosomal circular DNA during replicative cell aging
GO:0001314	replication of extrachromosomal circular DNA during replicative cell aging
GO:0001315	age-dependent response to reactive oxygen species
GO:0001316	age-dependent response to reactive oxygen species during replicative cell aging
GO:0001317	accumulation of oxidatively modified proteins during replicative cell aging
GO:0001318	formation of oxidatively modified proteins during replicative cell aging
GO:0001319	inheritance of oxidatively modified proteins during replicative cell aging
GO:0001320	age-dependent response to reactive oxygen species during chronological cell aging
GO:0001321	age-dependent general metabolic decline during replicative cell aging
GO:0001322	age-dependent response to oxidative stress during replicative cell aging
GO:0001323	age-dependent general metabolic decline during chronological cell aging
GO:0001324	age-dependent response to oxidative stress during chronological cell aging
GO:0001400	mating projection base
GO:0001401	mitochondrial sorting and assembly machinery complex
GO:0001402	signal transduction during filamentous growth
GO:0001403	invasive growth in response to glucose limitation
GO:0001404	invasive growth
GO:0001405	presequence translocase-associated import motor
GO:0001410	chlamydospore development
GO:0001503	ossification
GO:0001504	neurotransmitter uptake
GO:0001506	neurotransmitter biosynthetic process and storage
GO:0001507	acetylcholine catabolic process in synaptic cleft
GO:0001509	legumain activity
GO:0001512	dihydronicotinamide riboside quinone reductase activity
GO:0001516	prostaglandin biosynthetic process
GO:0001517	N-acetylglucosamine 6-O-sulfotransferase activity
GO:0001518	voltage-gated sodium channel complex
GO:0001520	outer dense fiber
GO:0001522	pseudouridine synthesis
GO:0001523	retinoid metabolic process
GO:0001526	proteoglycan sulfate transfer
GO:0001527	microfibril
GO:0001530	lipopolysaccharide binding
GO:0001531	interleukin-21 receptor binding
GO:0001532	interleukin-21 receptor activity
GO:0001537	N-acetylgalactosamine 4-O-sulfotransferase activity
GO:0001539	ciliary or flagellar motility
GO:0001541	ovarian follicle development
GO:0001542	ovulation from ovarian follicle
GO:0001548	follicular fluid formation in ovarian follicle antrum
GO:0001549	cumulus cell differentiation
GO:0001550	ovarian cumulus expansion
GO:0001553	luteinization
GO:0001559	regulation of cell growth by detection of nuclear:cytoplasmic ratio
GO:0001560	regulation of cell growth by extracellular stimulus
GO:0001562	response to protozoan
GO:0001563	detection of protozoan
GO:0001567	cholesterol 25-hydroxylase activity
GO:0001570	vasculogenesis
GO:0001571	non-tyrosine kinase fibroblast growth factor receptor activity
GO:0001572	lactosylceramide biosynthetic process
GO:0001573	ganglioside metabolic process
GO:0001574	ganglioside biosynthetic process
GO:0001575	globoside metabolic process
GO:0001576	globoside biosynthetic process
GO:0001577	galectin
GO:0001578	microtubule bundle formation
GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste
GO:0001581	detection of chemical stimulus involved in sensory perception of sour taste
GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste
GO:0001583	detection of chemical stimulus involved in sensory perception of salty taste
GO:0001584	rhodopsin-like receptor activity
GO:0001597	apelin-like receptor
GO:0001605	adrenomedullin receptor activity
GO:0001607	neuromedin U receptor activity
GO:0001608	nucleotide receptor activity, G-protein coupled
GO:0001609	adenosine receptor activity, G-protein coupled
GO:0001614	purinergic nucleotide receptor activity
GO:0001621	platelet ADP receptor activity
GO:0001622	super conserved receptor expressed in brain receptor activity
GO:0001625	Epstein-Barr Virus-induced receptor activity
GO:0001626	nociceptin/orphanin-FQ receptor activity
GO:0001627	leucine-rich G-protein receptor-like receptor activity
GO:0001628	gastropyloric receptor activity
GO:0001629	G-protein receptor 45-like receptor activity
GO:0001631	cysteinyl leukotriene receptor activity
GO:0001632	leukotriene B4 receptor activity
GO:0001633	secretin-like receptor activity
GO:0001634	pituitary adenylate cyclase activating protein receptor activity
GO:0001635	calcitonin gene-related polypeptide receptor activity
GO:0001637	G-protein chemoattractant receptor activity
GO:0001639	PLC activating metabotropic glutamate receptor activity
GO:0001640	adenylate cyclase inhibiting metabotropic glutamate receptor activity
GO:0001646	cAMP receptor activity
GO:0001647	G-protein coupled cytokinin receptor activity
GO:0001649	osteoblast differentiation
GO:0001650	fibrillar center
GO:0001653	peptide receptor activity
GO:0001659	temperature homeostasis
GO:0001660	fever
GO:0001662	behavioral fear response
GO:0001664	G-protein-coupled receptor binding
GO:0001665	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity
GO:0001666	response to hypoxia
GO:0001667	ameboidal cell migration
GO:0001671	ATPase activator activity
GO:0001672	regulation of chromatin assembly or disassembly
GO:0001673	male germ cell nucleus
GO:0001674	female germ cell nucleus
GO:0001676	long-chain fatty acid metabolic process
GO:0001677	formation of translation initiation ternary complex
GO:0001678	cellular glucose homeostasis
GO:0001681	sialate O-acetylesterase activity
GO:0001682	tRNA 5'-leader removal
GO:0001692	histamine metabolic process
GO:0001694	histamine biosynthetic process
GO:0001695	histamine catabolic process
GO:0001696	gastric acid secretion
GO:0001700	embryonic development via the syncytial blastoderm
GO:0001701	in utero embryonic development
GO:0001702	gastrulation with mouth forming second
GO:0001703	gastrulation with mouth forming first
GO:0001710	mesodermal cell fate commitment
GO:0001711	endodermal cell fate commitment
GO:0001712	ectodermal cell fate commitment
GO:0001713	ectodermal cell fate determination
GO:0001714	endodermal cell fate specification
GO:0001715	ectodermal cell fate specification
GO:0001716	L-amino-acid oxidase activity
GO:0001718	conversion of met-tRNAf to fmet-tRNA
GO:0001721	intermediate filament associated protein
GO:0001725	stress fiber
GO:0001726	ruffle
GO:0001729	ceramide kinase activity
GO:0001730	2'-5'-oligoadenylate synthetase activity
GO:0001731	formation of translation preinitiation complex
GO:0001732	formation of translation initiation complex
GO:0001733	galactosylceramide sulfotransferase activity
GO:0001735	prenylcysteine oxidase activity
GO:0001736	establishment of planar polarity
GO:0001737	establishment of imaginal disc-derived wing hair orientation
GO:0001742	oenocyte differentiation
GO:0001744	optic lobe placode formation
GO:0001745	compound eye morphogenesis
GO:0001748	optic lobe placode development
GO:0001751	compound eye photoreceptor cell differentiation
GO:0001752	compound eye photoreceptor fate commitment
GO:0001758	retinal dehydrogenase activity
GO:0001760	aminocarboxymuconate-semialdehyde decarboxylase activity
GO:0001761	beta-alanine transmembrane transporter activity
GO:0001764	neuron migration
GO:0001765	membrane raft formation
GO:0001766	membrane raft polarization
GO:0001767	establishment of lymphocyte polarity
GO:0001768	establishment of T cell polarity
GO:0001769	establishment of B cell polarity
GO:0001770	establishment of natural killer cell polarity
GO:0001772	immunological synapse
GO:0001776	leukocyte homeostasis
GO:0001777	T cell homeostatic proliferation
GO:0001779	natural killer cell differentiation
GO:0001781	neutrophil apoptosis
GO:0001782	B cell homeostasis
GO:0001783	B cell apoptosis
GO:0001785	prostaglandin J receptor activity
GO:0001787	natural killer cell proliferation
GO:0001788	antibody-dependent cellular cytotoxicity
GO:0001789	G-protein signaling, coupled to S1P second messenger (sphingosine kinase activating)
GO:0001795	type IIb hypersensitivity
GO:0001797	negative regulation of type IIa hypersensitivity
GO:0001798	positive regulation of type IIa hypersensitivity
GO:0001800	negative regulation of type IIb hypersensitivity
GO:0001801	positive regulation of type IIb hypersensitivity
GO:0001804	negative regulation of type III hypersensitivity
GO:0001805	positive regulation of type III hypersensitivity
GO:0001806	type IV hypersensitivity
GO:0001808	negative regulation of type IV hypersensitivity
GO:0001809	positive regulation of type IV hypersensitivity
GO:0001811	negative regulation of type I hypersensitivity
GO:0001812	positive regulation of type I hypersensitivity
GO:0001813	regulation of antibody-dependent cellular cytotoxicity
GO:0001814	negative regulation of antibody-dependent cellular cytotoxicity
GO:0001815	positive regulation of antibody-dependent cellular cytotoxicity
GO:0001818	negative regulation of cytokine production
GO:0001819	positive regulation of cytokine production
GO:0001820	serotonin secretion
GO:0001829	trophectodermal cell differentiation
GO:0001830	trophectodermal cell fate commitment
GO:0001831	trophectodermal cellular morphogenesis
GO:0001834	trophectodermal cell proliferation
GO:0001837	epithelial to mesenchymal transition
GO:0001841	neural tube formation
GO:0001844	protein insertion into mitochondrial membrane during induction of apoptosis
GO:0001845	phagolysosome formation
GO:0001865	NK T cell differentiation
GO:0001866	NK T cell proliferation
GO:0001869	negative regulation of complement activation, lectin pathway
GO:0001870	positive regulation of complement activation, lectin pathway
GO:0001871	pattern binding
GO:0001875	lipopolysaccharide receptor activity
GO:0001876	lipoarabinomannan binding
GO:0001877	lipoarabinomannan receptor activity
GO:0001887	selenium metabolic process
GO:0001888	glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity
GO:0001890	placenta development
GO:0001894	tissue homeostasis
GO:0001897	cytolysis by symbiont of host cells
GO:0001898	regulation of cytolysis by symbiont of host cells
GO:0001899	negative regulation of cytolysis by symbiont of host cells
GO:0001900	positive regulation of cytolysis by symbiont of host cells
GO:0001905	activation of membrane attack complex
GO:0001906	cell killing
GO:0001909	leukocyte mediated cytotoxicity
GO:0001910	regulation of leukocyte mediated cytotoxicity
GO:0001911	negative regulation of leukocyte mediated cytotoxicity
GO:0001912	positive regulation of leukocyte mediated cytotoxicity
GO:0001913	T cell mediated cytotoxicity
GO:0001914	regulation of T cell mediated cytotoxicity
GO:0001915	negative regulation of T cell mediated cytotoxicity
GO:0001916	positive regulation of T cell mediated cytotoxicity
GO:0001920	negative regulation of receptor recycling
GO:0001921	positive regulation of receptor recycling
GO:0001922	B-1 B cell homeostasis
GO:0001923	B-1 B cell differentiation
GO:0001924	regulation of B-1 B cell differentiation
GO:0001925	negative regulation of B-1 B cell differentiation
GO:0001926	positive regulation of B-1 B cell differentiation
GO:0001929	negative regulation of exocyst assembly
GO:0001930	positive regulation of exocyst assembly
GO:0001931	uropod
GO:0001933	negative regulation of protein amino acid phosphorylation
GO:0001934	positive regulation of protein amino acid phosphorylation
GO:0001937	negative regulation of endothelial cell proliferation
GO:0001938	positive regulation of endothelial cell proliferation
GO:0001941	postsynaptic membrane organization
GO:0001947	heart looping
GO:0001949	sebaceous gland cell differentiation
GO:0001953	negative regulation of cell-matrix adhesion
GO:0001954	positive regulation of cell-matrix adhesion
GO:0001956	positive regulation of neurotransmitter secretion
GO:0001959	regulation of cytokine and chemokine mediated signaling pathway
GO:0001960	negative regulation of cytokine and chemokine mediated signaling pathway
GO:0001961	positive regulation of cytokine and chemokine mediated signaling pathway
GO:0001962	alpha-1,3-galactosyltransferase activity
GO:0001965	G-protein alpha-subunit binding
GO:0001966	thigmotaxis
GO:0001967	suckling behavior
GO:0001970	positive regulation of activation of membrane attack complex
GO:0001971	negative regulation of activation of membrane attack complex
GO:0001973	adenosine receptor signaling pathway
GO:0001976	regulation of systemic arterial blood pressure by neurological process
GO:0001977	regulation of blood volume by renal system process
GO:0001978	regulation of systemic arterial blood pressure by carotid sinus baroreceptor feedback
GO:0001979	regulation of systemic arterial blood pressure by chemoreceptor
GO:0001980	regulation of systemic arterial blood pressure by ischemic conditions
GO:0001985	negative regulation of heart rate in baroreceptor response to increased systemic arterial blood pressure
